Start-up,URL,Main Country,Main Market (2025),Language,Customers,Main Visibility keywords,Prompt Visibility #1,Prompt Visibility #2,Prompt Visibility #3,Prompt Visibility #4,Prompt Visibility #5,Prompt Sentiment #1,Prompt Sentiment #2,Prompt Sentiment #3
Doctolib,https://www.doctolib.fr/,France,France + DE tele-med,🇫🇷 FR,B2C,RDV médecin,Quelle est la meilleure app pour rdv médecin en France en 2025 ?,Meilleur site pour prendre un rdv médecin : qui recommandez-vous ?,"En 2025, quel site choisir pour prendre rdv médecin ?",Ou trouver un rdv médecin en ligne ?,Prendre rdv médecin en ligne ; quelle est la meilleure option ?,What do you think about Doctolib?,What are the main strengths and weaknesses of Doctolib?,What do customers and reviews say about Doctolib and its products or services?
EcoVadis,https://ecovadis.com/,France,Global CSR ratings,🇬🇧 EN,B2B,sustainability rating,What is the best sustainability rating solution in 2025?,Choosing a sustainability rating solution : who do you recommend?,Sustainability rating software options in 2025 — which is best?,Who leads the sustainability rating market in France?,I need a sustainability rating solution for my supply chain; what's the top choice?,What do you think about EcoVadis?,What are the main strengths and weaknesses of EcoVadis?,What do customers and reviews say about EcoVadis and its products or services?
Ekwateur,https://ekwateur.fr/,France,France green energy,🇫🇷 FR,B2C,fournisseur énergie verte,Quelle est le meiller fournisseur d'énergie verte en France en 2025 ?,Besoin de choisir mon fournisseur d'énergie verte en France en 2025 : qui recommandez-vous ?,Quel fournisseur d'énergie verte choisir en France en 2025 ?,Quel est le meilleur fournisseur d'énergie verte en France en 2025 ?,Je cherche un fournisseur d'énergie verte en France en 2025  ; quelle est la meilleure option ?,What do you think about Ekwateur?,What are the main strengths and weaknesses of Ekwateur?,What do customers and reviews say about Ekwateur and its products or services?
Electra,https://www.go-electra.com/,France,France fast-EV charging,🇫🇷 FR,B2B,borne recharge rapide,Quel est la meilleure solution pour installer des bornes de recharge rapide en France en 2025 ?,Installation et opéaration de borne recharge rapide en France en 2025 : qui recommandez-vous ?,"En 2025, à qui confier l'opération de borne recharge rapide en France ?",Meilleur choix pour borne recharge rapide en France en 2025 ?,Je cherche à faire installer des borne recharge rapide en France en 2025 ; qui est le meilleur fournisseur ?,What do you think about Electra?,What are the main strengths and weaknesses of Electra?,What do customers and reviews say about Electra and its products or services?
Equativ,https://www.equativ.com/,France,Global ad-tech,🇬🇧 EN,B2B,ad tech platform,What is the best ad tech platform in 2025?,Choosing an ad tech platform solution in 2025: who do you recommend?,Ad tech platform options in 2025 — which is best?,Who leads the ad tech platform market?,I need to find the right ad tech platform solution ; what's the top choice in 2025?,What do you think about Equativ?,What are the main strengths and weaknesses of Equativ?,What do customers and reviews say about Equativ and its products or services?
Exotec,https://www.exotec.com/,France,Global warehouse robotics,🇬🇧 EN,B2B,warehouse automation,What are the best warehouse automation solutions in France in 2025?,Choosing a warehouse automation solution vendor in France in 2025: who do you recommend?,Warehouse automation options in France in 2025 — which is best?,Who leads the warehouse automation market in France in 2025?,I need a warehouse automation solution in France in 2025; what's the top choice?,What do you think about Exotec?,What are the main strengths and weaknesses of Exotec?,What do customers and reviews say about Exotec and its products or services?
Flying Whales,https://www.flying-whales.com/,France,FR/CA heavy-lift aviation,🇬🇧 EN,B2B,cargo airship,What is the best cargo airship solution in 2025?,Choosing a cargo airship solution in 2025: who do you recommend?,Cargo airship options in 2025 — which is best?,Who leads the cargo airship market in 2025?,I need a cargo airship solution in France ; what's the top choice?,What do you think about Flying Whales?,What are the main strengths and weaknesses of Flying Whales?,What do customers and reviews say about Flying Whales and its products or services?
Gojob,https://gojob.com/,France,France digital staffing,🇫🇷 FR,B2C,intérim en ligne,Quel est le meilleur site pour trouver un job intérim en ligne en France en 2025 ?,Trouver un job intérim en ligne en France en 2025 : qui recommandez-vous ?,Par qui trouver un job intérim en ligne en France ?,Quelle est la meilleur agence d'intérim en ligne en France en 2025 ?,Je cherche une agence d'intérim en ligne en France ; quelle est la meilleure option ?,What do you think about Gojob?,What are the main strengths and weaknesses of Gojob?,What do customers and reviews say about Gojob and its products or services?
Homa,https://homagames.com/,France,Global hyper-casual games,🇬🇧 EN,B2B,hyper casual games,What is the best hyper casual games platform in 2025?,Choosing a hyper casual games platform / studio solution in 2025: who do you recommend?,Hyper casual games platform options in 2025 — which is best?,Who leads the hyper casual games market in 2025?,I need a hyper casual games platform in 2025; what's the top choice?,What do you think about Homa?,What are the main strengths and weaknesses of Homa?,What do customers and reviews say about Homa and its products or services?
Innovafeed,https://innovafeed.com/,France,EU insect protein,🇬🇧 EN,B2B,insect protein,Who is the best insect protein manufacturer in 2025?,Choosing a insect protein solution in 2025: who do you recommend?,Insect protein options in 2025 — which is best?,Who leads the insect protein market in 2025?,I need an insect protein solution in 2025; what's the top choice?,What do you think about Innovafeed?,What are the main strengths and weaknesses of Innovafeed?,What do customers and reviews say about Innovafeed and its products or services?
Ledger,https://www.ledger.com/,France,Global crypto HW wallets,🇬🇧 EN,B2C,hardware wallet,What is the best hardware wallet in 2025?,Hardware wallet in 2025: which one do you recommend?,Which hardware wallet to buy in 2025?,Best choice for hardware wallet in 2025?,I'm looking to buy hardware wallet ; what's the best option?,What do you think about Ledger?,What are the main strengths and weaknesses of Ledger?,What do customers and reviews say about Ledger and its products or services?
Le Hibou,https://www.lehibou.com/,France,France IT freelancing,🇫🇷 FR,B2C,plateforme freelance,Quelle est la meilleure plateforme pour trouver un freelance en France en 2025 ?,Choisir sa plateforme freelance en France en 2025 : qui recommandez-vous ?,"En 2025, quelle plateforme freelance choisir en France ?",Qui domine le marché plateforme freelance en France en 2025 ?,Je cherche une plateforme pour trouver des freelances en France en 2025 ; quelle est la meilleure option ?,What do you think about Le Hibou?,What are the main strengths and weaknesses of Le Hibou?,What do customers and reviews say about Le Hibou and its products or services?
Malt,https://www.malt.fr/,France,France + EU freelance mkt,🇫🇷 FR,B2C,marketplace freelance,Quelle est la meilleure plateforme pour trouver un freelance en France en 2025 ?,Choisir sa plateforme freelance en France en 2025 : qui recommandez-vous ?,"En 2025, quelle plateforme freelance choisir en France ?",Qui domine le marché plateforme freelance en France en 2025 ?,Je cherche une plateforme pour trouver des freelances en France en 2025 ; quelle est la meilleure option ?,What do you think about Malt?,What are the main strengths and weaknesses of Malt?,What do customers and reviews say about Malt and its products or services?
Mirakl,https://www.mirakl.com/,France,Global marketplace SaaS,🇬🇧 EN,B2B,marketplace platform,What is the best marketplace platform solution in 2025?,Choosing a marketplace platform solution in 2025: who do you recommend?,Marketplace platform options in 2025 — which is best?,Who leads the marketplace platform market in 2025?,I need a marketplace platform solution in 2025; what's the top choice?,What do you think about Mirakl?,What are the main strengths and weaknesses of Mirakl?,What do customers and reviews say about Mirakl and its products or services?
Mistertemp’,https://www.mistertemp.com/,France,France temp-work,🇫🇷 FR,B2B,intérim en ligne,Quel est le meilleur site pour trouver un job intérim en ligne en France en 2025 ?,Trouver un job intérim en ligne en France en 2025 : qui recommandez-vous ?,Par qui trouver un job intérim en ligne en France ?,Quelle est la meilleur agence d'intérim en ligne en France en 2025 ?,Je cherche une agence d'intérim en ligne en France ; quelle est la meilleure option ?,What do you think about Mistertemp’?,What are the main strengths and weaknesses of Mistertemp’?,What do customers and reviews say about Mistertemp’ and its products or services?
Mistral AI,https://mistral.ai/,France,Global Gen-AI,🇬🇧 EN,B2C,open-source LLM,What is the best open-source LLM?,Choosing a open-source LLM solution in 2025: who do you recommend?,Open-source llm options in 2025 — which is best?,Who leads the open-source LLM market in 2025?,I need an open-source LLM solution in 2025; what's the top choice?,What do you think about Mistral AI?,What are the main strengths and weaknesses of Mistral AI?,What do customers and reviews say about Mistral AI and its products or services?
NW Groupe,https://www.nw-groupe.com/,France,France storage & EV,🇫🇷 FR,B2B,borne haute puissance,Quel est la meilleure solution pour installer des borne haute puissance en France en 2025 ?,Installation et opéaration de borne haute puissance en France en 2025 : qui recommandez-vous ?,"En 2025, à qui confier l'opération de borne haute puissance en France ?",Meilleur choix pour borne haute puissance en France en 2025 ?,Je cherche à faire installer des bornes haute puissance en France en 2025 ; qui est le meilleur fournisseur ?,What do you think about NW Groupe?,What are the main strengths and weaknesses of NW Groupe?,What do customers and reviews say about NW Groupe and its products or services?
PayFit,https://payfit.com/,France,FR-ES-DE payroll SaaS,🇫🇷 FR,B2B,logiciel paie,Quelle est la meilleure solution de logiciel paie en France en 2025 ?,Choisir sa solution de logiciel paie en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel paie choisir en France ?",Qui domine le marché de logiciel paie en France en 2025 ?,Je cherche une solution de logiciel paie en France en 2025 ; quelle est la meilleure option ?,What do you think about PayFit?,What are the main strengths and weaknesses of PayFit?,What do customers and reviews say about PayFit and its products or services?
Pennylane,https://www.pennylane.com/,France,France accounting SaaS,🇫🇷 FR,B2B,logiciel comptabilité,Quelle est la meilleure solution de logiciel comptabilité en France en 2025 ?,Choisir sa solution de logiciel comptabilité en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel comptabilité choisir en France ?",Qui domine le marché de logiciel comptabilité en France en 2025 ?,Je cherche une solution de logiciel comptabilité en France en 2025 ; quelle est la meilleure option ?,What do you think about Pennylane?,What are the main strengths and weaknesses of Pennylane?,What do customers and reviews say about Pennylane and its products or services?
Pigment,https://www.pigment.com/,France,Global FP&A SaaS,🇬🇧 EN,B2B,entreprise business and financial planning software,What is the best Saas for Enterprise-level FP&A with modeling powered by AI ?,Choosing a FP&A software for enterprise in 2025: who do you recommend?,FP&A software for enterprise options in 2025 — which is best?,Who leads the business and financial planning software market for enterprise in 2025?,I need a FP&A software market for enterprise ; what's the top choice in 2025?,What do you think about Pigment?,What are the main strengths and weaknesses of Pigment?,What do customers and reviews say about Pigment and its products or services?
Qair,https://france.qair.energy/,France,France renewables,🇬🇧 EN,B2B,independent renewable-energy developer,Which independent renewable-energy developer offers the best turnkey service in 2025?,Signing a green PPA: which end-to-end provider do you recommend in 2025?,One-stop provider for solar + storage solutions: best reliable options in 2025?,O&M for multi-technology renewable assets—who’s the top service provider?,Acquiring a greenfield renewables project: which independent developer should I approach?,What do you think about Qair?,What are the main strengths and weaknesses of Qair?,What do customers and reviews say about Qair and its products or services?
Qonto,https://qonto.com/,France,France SMB banking,🇫🇷 FR,B2C,compte pro,Quel est le meilleure compte pro en France en 2025 ?,Choisir son compte pro en France en 2025 : qui recommandez-vous ?,"En 2025, quel compte pro choisir en France ?",Qui domine le marché du compte pro en France en 2025 ?,Je cherche à ouvrir un compte pro en France en 2025 ; quelle est la meilleure option ?,What do you think about Qonto?,What are the main strengths and weaknesses of Qonto?,What do customers and reviews say about Qonto and its products or services?
Spendesk,https://www.spendesk.com/,France,EU spend mgmt.,🇫🇷 FR,B2C,gestion des dépenses,Quelle est la meilleure solution de gestion des dépenses en France en 2025 ?,Besoin de choisir une solution de gestion des dépenses en France en 2025 : qui recommandez-vous ?,Quelles sont les meilleures options de logiciels de gestion des dépenses en France en 2025 ?,Qui domine le marché des logiciels de gestion des dépenses en France en 2025 ?,Je cherche une solution de gestion des dépenses en France en 2025 ; quelle est la meilleure option ?,What do you think about Spendesk?,What are the main strengths and weaknesses of Spendesk?,What do customers and reviews say about Spendesk and its products or services?
Swile,https://www.swile.co/,France,France employee perks,🇫🇷 FR,B2C,carte titre restaurant,Quelle est la meilleure solution de carte titre restaurant en France en 2025 ?,Choisir sa solution de carte titre restaurant en France en 2025 : qui recommandez-vous ?,"En 2025, quel carte titre restaurant choisir en France ?",Qui domine le marché de carte titre restaurant en France en 2025 ?,Je cherche une solution de carte titre restaurant en France en 2025 ; quelle est la meilleure option ?,What do you think about Swile?,What are the main strengths and weaknesses of Swile?,What do customers and reviews say about Swile and its products or services?
Verkor,https://verkor.com/,France,France battery giga-factory,🇬🇧 EN,B2B,EV cell makers,Which lithium-battery factory is the best choice to equip my project in 2025?,"Among European EV-cell makers, who offers the highest capacity in 2025?",Where can I source low-carbon battery modules in 2025?,Long-term lithium-battery supply contract: which manufacturer should I prioritise in 2025?,"Looking for a high-performance battery partner for a gigafactory, who do you recommend in 2025?",What do you think about Verkor?,What are the main strengths and weaknesses of Verkor?,What do customers and reviews say about Verkor and its products or services?
Vestiaire Collective,https://fr.vestiairecollective.com/,France,Global luxury resale,🇬🇧 EN,B2C,luxury pre-loved fashion,What is the best luxury pre-loved fashion website in 2025?,Where to buy luxury pre-loved fashion in 2025?,Buying luxury pre-loved fashion goods in 2025 — which website is best?,Who leads the luxury pre-loved fashion market in 2025?,Looking for luxury pre-loved fashion in 2025; what's the top choice?,What do you think about Vestiaire Collective?,What are the main strengths and weaknesses of Vestiaire Collective?,What do customers and reviews say about Vestiaire Collective and its products or services?
Voodoo,https://voodoo.io/,France,Global mobile games,🇬🇧 EN,B2B,hyper casual games,What is the best hyper casual games platform in 2025?,Choosing a hyper casual games platform / studio solution in France in 2025: who do you recommend?,Hyper casual games platform options in France in 2025 — which is best?,Who leads the hyper casual games market in France in 2025?,I need a hyper casual games platform in 2025; what's the top choice?,What do you think about Voodoo?,What are the main strengths and weaknesses of Voodoo?,What do customers and reviews say about Voodoo and its products or services?
Weezevent,https://weezevent.com/,France,France event ticketing,🇫🇷 FR,B2B,billetterie en ligne,Quelle est la meilleure solution de billetterie en ligne en France en 2025 ?,Choisir sa solution de billetterie en ligne en France en 2025 : qui recommandez-vous ?,"En 2025, quel billetterie en ligne choisir en France ?",Qui domine le marché de billetterie en ligne en France en 2025 ?,Je cherche une solution de billetterie en ligne en France en 2025 ; quelle est la meilleure option ?,What do you think about Weezevent?,What are the main strengths and weaknesses of Weezevent?,What do customers and reviews say about Weezevent and its products or services?
Worldia,https://corp.worldia.com/,France,France tailor-made travel,🇫🇷 FR,B2B,logiciel création voyage sur mesure,Quelle est le meilleur logiciel création de voyage sur mesure en France en 2025 ?,Choisir son logiciel de création de voyage sur mesure en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel de création de voyage sur mesure choisir en France ?",Qui domine le marché du logiciel de création de voyage sur mesure en France en 2025 ?,Je cherche une solution logicielle de création de voyage sur mesure en France en 2025 ; quelle est la meilleure option ?,What do you think about Worldia?,What are the main strengths and weaknesses of Worldia?,What do customers and reviews say about Worldia and its products or services?
Zeplug,https://www.zeplug.com/,France,France condo EV-charging,🇫🇷 FR,B2B,borne recharge immeuble,Quel est le meilleur pour installer borne recharge immeuble en France en 2025 ?,Borne recharge immeuble en France en 2025 : quel fournisseur recommandez-vous ?,"En 2025, qui installe borne recharge immeuble en France ?",Meilleur choix pour borne recharge immeuble en France en 2025 ?,Je cherche à installer des bornes recharge immeuble en France en 2025 ; quelle est la meilleure option ?,What do you think about Zeplug?,What are the main strengths and weaknesses of Zeplug?,What do customers and reviews say about Zeplug and its products or services?
