Start-up,URL,Main Country,Main Market (2025),Language,Main Visibility keywords,Prompt Visibility #1,Prompt Visibility #2,Prompt Visibility #3,Prompt Visibility #4,Prompt Visibility #5,Prompt Sentiment #1,Prompt Sentiment #2,Prompt Sentiment #3,Visibility - Gemini 2.0 Flash,Visibility - GPT-4o,Visibility - Mistral Medium 2025,Visibility - Perplexity Sonar Pro,Visibility - Total général,Visibility score - Gemini 2.0 Flash,Visibility score - GPT-4o,Visibility score - Mistral Medium 2025,Visibility score - Perplexity Sonar Pro,Visibility score - Total général,Sentiment score - Total général
Doctolib,https://www.doctolib.fr/,France,France + DE tele-med,🇫🇷 FR,RDV médecin,Quelle est la meilleure app pour rdv médecin en France en 2025 ?,Meilleur site pour prendre un rdv médecin : qui recommandez-vous ?,"En 2025, quel site choisir pour prendre rdv médecin ?",Ou trouver un rdv médecin en ligne ?,Prendre rdv médecin en ligne ; quelle est la meilleure option ?,What do you think about Doctolib?,What are the main strengths and weaknesses of Doctolib?,What do customers and reviews say about Doctolib and its products or services?,25,25,25,24,99,100%,100%,100%,96%,99%,58
EcoVadis,https://ecovadis.com/,France,Global CSR ratings,🇬🇧 EN,sustainability rating,What is the best sustainability rating solution in 2025?,Choosing a sustainability rating solution : who do you recommend?,Sustainability rating software options in 2025 — which is best?,Who leads the sustainability rating market in France?,I need a sustainability rating solution for my supply chain; what's the top choice?,What do you think about EcoVadis?,What are the main strengths and weaknesses of EcoVadis?,What do customers and reviews say about EcoVadis and its products or services?,23,17,24,24,88,92%,68%,96%,96%,88%,42
Ekwateur,https://ekwateur.fr/,France,France green energy,🇫🇷 FR,fournisseur énergie verte,Quelle est le meiller fournisseur d'énergie verte en France en 2025 ?,Besoin de choisir mon fournisseur d'énergie verte en France en 2025 : qui recommandez-vous ?,Quel fournisseur d'énergie verte choisir en France en 2025 ?,Quel est le meilleur fournisseur d'énergie verte en France en 2025 ?,Je cherche un fournisseur d'énergie verte en France en 2025  ; quelle est la meilleure option ?,What do you think about Ekwateur?,What are the main strengths and weaknesses of Ekwateur?,What do customers and reviews say about Ekwateur and its products or services?,22,25,25,16,88,88%,100%,100%,64%,88%,58
Electra,https://www.go-electra.com/,France,France fast-EV charging,🇫🇷 FR,borne recharge rapide,Quel est la meilleure solution pour installer des bornes de recharge rapide en France en 2025 ?,Installation et opéaration de borne recharge rapide en France en 2025 : qui recommandez-vous ?,"En 2025, à qui confier l'opération de borne recharge rapide en France ?",Meilleur choix pour borne recharge rapide en France en 2025 ?,Je cherche à faire installer des borne recharge rapide en France en 2025 ; qui est le meilleur fournisseur ?,What do you think about Electra?,What are the main strengths and weaknesses of Electra?,What do customers and reviews say about Electra and its products or services?,21,0,8,0,29,84%,0%,32%,0%,29%,67
Equativ,https://www.equativ.com/,France,Global ad-tech,🇬🇧 EN,ad tech platform,What is the best ad tech platform in 2025?,Choosing an ad tech platform solution in 2025: who do you recommend?,Ad tech platform options in 2025 — which is best?,Who leads the ad tech platform market?,I need to find the right ad tech platform solution ; what's the top choice in 2025?,What do you think about Equativ?,What are the main strengths and weaknesses of Equativ?,What do customers and reviews say about Equativ and its products or services?,0,12,0,0,12,0%,48%,0%,0%,12%,58
Exotec,https://www.exotec.com/,France,Global warehouse robotics,🇬🇧 EN,warehouse automation,What are the best warehouse automation solutions in France in 2025?,Choosing a warehouse automation solution vendor in France in 2025: who do you recommend?,Warehouse automation options in France in 2025 — which is best?,Who leads the warehouse automation market in France in 2025?,I need a warehouse automation solution in France in 2025; what's the top choice?,What do you think about Exotec?,What are the main strengths and weaknesses of Exotec?,What do customers and reviews say about Exotec and its products or services?,18,20,5,2,45,72%,80%,20%,8%,45%,92
Flying Whales,https://www.flying-whales.com/,France,FR/CA heavy-lift aviation,🇬🇧 EN,cargo airship,What is the best cargo airship solution in 2025?,Choosing a cargo airship solution in 2025: who do you recommend?,Cargo airship options in 2025 — which is best?,Who leads the cargo airship market in 2025?,I need a cargo airship solution in France ; what's the top choice?,What do you think about Flying Whales?,What are the main strengths and weaknesses of Flying Whales?,What do customers and reviews say about Flying Whales and its products or services?,25,21,21,20,87,100%,84%,84%,80%,87%,50
Gojob,https://gojob.com/,France,France digital staffing,🇫🇷 FR,intérim en ligne,Quel est le meilleur site pour trouver un job intérim en ligne en France en 2025 ?,Trouver un job intérim en ligne en France en 2025 : qui recommandez-vous ?,Par qui trouver un job intérim en ligne en France ?,Quelle est la meilleur agence d'intérim en ligne en France en 2025 ?,Je cherche une agence d'intérim en ligne en France ; quelle est la meilleure option ?,What do you think about Gojob?,What are the main strengths and weaknesses of Gojob?,What do customers and reviews say about Gojob and its products or services?,6,5,0,5,16,24%,20%,0%,20%,16%,42
Homa,https://homagames.com/,France,Global hyper-casual games,🇬🇧 EN,hyper casual games,What is the best hyper casual games platform in 2025?,Choosing a hyper casual games platform / studio solution in 2025: who do you recommend?,Hyper casual games platform options in 2025 — which is best?,Who leads the hyper casual games market in 2025?,I need a hyper casual games platform in 2025; what's the top choice?,What do you think about Homa?,What are the main strengths and weaknesses of Homa?,What do customers and reviews say about Homa and its products or services?,15,3,7,1,26,60%,12%,28%,4%,26%,58
Innovafeed,https://innovafeed.com/,France,EU insect protein,🇬🇧 EN,insect protein,Who is the best insect protein manufacturer in 2025?,Choosing a insect protein solution in 2025: who do you recommend?,Insect protein options in 2025 — which is best?,Who leads the insect protein market in 2025?,I need an insect protein solution in 2025; what's the top choice?,What do you think about Innovafeed?,What are the main strengths and weaknesses of Innovafeed?,What do customers and reviews say about Innovafeed and its products or services?,25,24,22,25,96,100%,96%,88%,100%,96%,67
Ledger,https://www.ledger.com/,France,Global crypto HW wallets,🇬🇧 EN,hardware wallet,What is the best hardware wallet in 2025?,Hardware wallet in 2025: which one do you recommend?,Which hardware wallet to buy in 2025?,Best choice for hardware wallet in 2025?,I'm looking to buy hardware wallet ; what's the best option?,What do you think about Ledger?,What are the main strengths and weaknesses of Ledger?,What do customers and reviews say about Ledger and its products or services?,24,10,0,2,36,96%,40%,0%,8%,36%,42
Le Hibou,https://www.lehibou.com/,France,France IT freelancing,🇫🇷 FR,plateforme freelance,Quelle est la meilleure plateforme pour trouver un freelance en France en 2025 ?,Choisir sa plateforme freelance en France en 2025 : qui recommandez-vous ?,"En 2025, quelle plateforme freelance choisir en France ?",Qui domine le marché plateforme freelance en France en 2025 ?,Je cherche une plateforme pour trouver des freelances en France en 2025 ; quelle est la meilleure option ?,What do you think about Le Hibou?,What are the main strengths and weaknesses of Le Hibou?,What do customers and reviews say about Le Hibou and its products or services?,25,25,25,25,100,100%,100%,100%,100%,100%,42
Malt,https://www.malt.fr/,France,France + EU freelance mkt,🇫🇷 FR,marketplace freelance,Quelle est la meilleure plateforme pour trouver un freelance en France en 2025 ?,Choisir sa plateforme freelance en France en 2025 : qui recommandez-vous ?,"En 2025, quelle plateforme freelance choisir en France ?",Qui domine le marché plateforme freelance en France en 2025 ?,Je cherche une plateforme pour trouver des freelances en France en 2025 ; quelle est la meilleure option ?,What do you think about Malt?,What are the main strengths and weaknesses of Malt?,What do customers and reviews say about Malt and its products or services?,25,25,25,25,100,100%,100%,100%,100%,100%,58
Mirakl,https://www.mirakl.com/,France,Global marketplace SaaS,🇬🇧 EN,marketplace platform,What is the best marketplace platform solution in 2025?,Choosing a marketplace platform solution in 2025: who do you recommend?,Marketplace platform options in 2025 — which is best?,Who leads the marketplace platform market in 2025?,I need a marketplace platform solution in 2025; what's the top choice?,What do you think about Mirakl?,What are the main strengths and weaknesses of Mirakl?,What do customers and reviews say about Mirakl and its products or services?,11,0,5,4,20,44%,0%,20%,16%,20%,58
Mistertemp’,https://www.mistertemp.com/,France,France temp-work,🇫🇷 FR,intérim en ligne,Quel est le meilleur site pour trouver un job intérim en ligne en France en 2025 ?,Trouver un job intérim en ligne en France en 2025 : qui recommandez-vous ?,Par qui trouver un job intérim en ligne en France ?,Quelle est la meilleur agence d'intérim en ligne en France en 2025 ?,Je cherche une agence d'intérim en ligne en France ; quelle est la meilleure option ?,What do you think about Mistertemp’?,What are the main strengths and weaknesses of Mistertemp’?,What do customers and reviews say about Mistertemp’ and its products or services?,11,6,0,1,18,44%,24%,0%,4%,18%,67
Mistral AI,https://mistral.ai/,France,Global Gen-AI,🇬🇧 EN,open-source LLM,What is the best open-source LLM?,Choosing a open-source LLM solution in 2025: who do you recommend?,Open-source llm options in 2025 — which is best?,Who leads the open-source LLM market in 2025?,I need an open-source LLM solution in 2025; what's the top choice?,What do you think about Mistral AI?,What are the main strengths and weaknesses of Mistral AI?,What do customers and reviews say about Mistral AI and its products or services?,25,17,10,20,72,100%,68%,40%,80%,72%,58
NW Groupe,https://www.nw-groupe.com/,France,France storage & EV,🇫🇷 FR,borne haute puissance,Quel est la meilleure solution pour installer des borne haute puissance en France en 2025 ?,Installation et opéaration de borne haute puissance en France en 2025 : qui recommandez-vous ?,"En 2025, à qui confier l'opération de borne haute puissance en France ?",Meilleur choix pour borne haute puissance en France en 2025 ?,Je cherche à faire installer des bornes haute puissance en France en 2025 ; qui est le meilleur fournisseur ?,What do you think about NW Groupe?,What are the main strengths and weaknesses of NW Groupe?,What do customers and reviews say about NW Groupe and its products or services?,7,0,0,0,7,28%,0%,0%,0%,7%,67
PayFit,https://payfit.com/,France,FR-ES-DE payroll SaaS,🇫🇷 FR,logiciel paie,Quelle est la meilleure solution de logiciel paie en France en 2025 ?,Choisir sa solution de logiciel paie en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel paie choisir en France ?",Qui domine le marché de logiciel paie en France en 2025 ?,Je cherche une solution de logiciel paie en France en 2025 ; quelle est la meilleure option ?,What do you think about PayFit?,What are the main strengths and weaknesses of PayFit?,What do customers and reviews say about PayFit and its products or services?,23,21,23,21,88,92%,84%,92%,84%,88%,67
Pennylane,https://www.pennylane.com/,France,France accounting SaaS,🇫🇷 FR,logiciel comptabilité,Quelle est la meilleure solution de logiciel comptabilité en France en 2025 ?,Choisir sa solution de logiciel comptabilité en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel comptabilité choisir en France ?",Qui domine le marché de logiciel comptabilité en France en 2025 ?,Je cherche une solution de logiciel comptabilité en France en 2025 ; quelle est la meilleure option ?,What do you think about Pennylane?,What are the main strengths and weaknesses of Pennylane?,What do customers and reviews say about Pennylane and its products or services?,24,16,21,25,86,96%,64%,84%,100%,86%,67
Pigment,https://www.pigment.com/,France,Global FP&A SaaS,🇬🇧 EN,financial planning platform,What is the best financial planning platform solution in 2025?,Choosing a financial planning software solution in 2025: who do you recommend?,Financial planning software options in 2025 — which is best?,Who leads the financial planning software market in 2025?,I need a financial planning software solution ; what's the top choice in 2025?,What do you think about Pigment?,What are the main strengths and weaknesses of Pigment?,What do customers and reviews say about Pigment and its products or services?,0,0,0,0,0,0%,0%,0%,0%,0%,67
Qair,https://france.qair.energy/,France,France renewables,🇬🇧 EN,independent renewable-energy developer,Which independent renewable-energy developer offers the best turnkey service in 2025?,Signing a green PPA: which end-to-end provider do you recommend in 2025?,One-stop provider for solar + storage solutions: best reliable options in 2025?,O&M for multi-technology renewable assets—who’s the top service provider?,Acquiring a greenfield renewables project: which independent developer should I approach?,What do you think about Qair?,What are the main strengths and weaknesses of Qair?,What do customers and reviews say about Qair and its products or services?,0,0,0,0,0,0%,0%,0%,0%,0%,67
Qonto,https://qonto.com/,France,France SMB banking,🇫🇷 FR,compte pro,Quel est le meilleure compte pro en France en 2025 ?,Choisir son compte pro en France en 2025 : qui recommandez-vous ?,"En 2025, quel compte pro choisir en France ?",Qui domine le marché du compte pro en France en 2025 ?,Je cherche à ouvrir un compte pro en France en 2025 ; quelle est la meilleure option ?,What do you think about Qonto?,What are the main strengths and weaknesses of Qonto?,What do customers and reviews say about Qonto and its products or services?,24,21,25,25,95,96%,84%,100%,100%,95%,58
Spendesk,https://www.spendesk.com/,France,EU spend mgmt.,🇫🇷 FR,gestion des dépenses,Quelle est la meilleure solution de gestion des dépenses en France en 2025 ?,Besoin de choisir une solution de gestion des dépenses en France en 2025 : qui recommandez-vous ?,Quelles sont les meilleures options de logiciels de gestion des dépenses en France en 2025 ?,Qui domine le marché des logiciels de gestion des dépenses en France en 2025 ?,Je cherche une solution de gestion des dépenses en France en 2025 ; quelle est la meilleure option ?,What do you think about Spendesk?,What are the main strengths and weaknesses of Spendesk?,What do customers and reviews say about Spendesk and its products or services?,23,12,20,13,68,92%,48%,80%,52%,68%,58
Swile,https://www.swile.co/,France,France employee perks,🇫🇷 FR,carte titre restaurant,Quelle est la meilleure solution de carte titre restaurant en France en 2025 ?,Choisir sa solution de carte titre restaurant en France en 2025 : qui recommandez-vous ?,"En 2025, quel carte titre restaurant choisir en France ?",Qui domine le marché de carte titre restaurant en France en 2025 ?,Je cherche une solution de carte titre restaurant en France en 2025 ; quelle est la meilleure option ?,What do you think about Swile?,What are the main strengths and weaknesses of Swile?,What do customers and reviews say about Swile and its products or services?,23,23,22,25,93,92%,92%,88%,100%,93%,75
Verkor,https://verkor.com/,France,France battery giga-factory,🇬🇧 EN,EV cell makers,Which lithium-battery factory is the best choice to equip my project in 2025?,"Among European EV-cell makers, who offers the highest capacity in 2025?",Where can I source low-carbon battery modules in 2025?,Long-term lithium-battery supply contract: which manufacturer should I prioritise in 2025?,"Looking for a high-performance battery partner for a gigafactory, who do you recommend in 2025?",What do you think about Verkor?,What are the main strengths and weaknesses of Verkor?,What do customers and reviews say about Verkor and its products or services?,0,0,0,0,0,0%,0%,0%,0%,0%,67
Vestiaire Collective,https://fr.vestiairecollective.com/,France,Global luxury resale,🇬🇧 EN,luxury pre-loved fashion,What is the best luxury pre-loved fashion website in 2025?,Where to buy luxury pre-loved fashion in 2025?,Buying luxury pre-loved fashion goods in 2025 — which website is best?,Who leads the luxury pre-loved fashion market in 2025?,Looking for luxury pre-loved fashion in 2025; what's the top choice?,What do you think about Vestiaire Collective?,What are the main strengths and weaknesses of Vestiaire Collective?,What do customers and reviews say about Vestiaire Collective and its products or services?,25,25,25,23,98,100%,100%,100%,92%,98%,25
Voodoo,https://voodoo.io/,France,Global mobile games,🇬🇧 EN,hyper casual games,What is the best hyper casual games platform in 2025?,Choosing a hyper casual games platform / studio solution in France in 2025: who do you recommend?,Hyper casual games platform options in France in 2025 — which is best?,Who leads the hyper casual games market in France in 2025?,I need a hyper casual games platform in 2025; what's the top choice?,What do you think about Voodoo?,What are the main strengths and weaknesses of Voodoo?,What do customers and reviews say about Voodoo and its products or services?,16,15,18,20,69,64%,60%,72%,80%,69%,17
Weezevent,https://weezevent.com/,France,France event ticketing,🇫🇷 FR,billetterie en ligne,Quelle est la meilleure solution de billetterie en ligne en France en 2025 ?,Choisir sa solution de billetterie en ligne en France en 2025 : qui recommandez-vous ?,"En 2025, quel billetterie en ligne choisir en France ?",Qui domine le marché de billetterie en ligne en France en 2025 ?,Je cherche une solution de billetterie en ligne en France en 2025 ; quelle est la meilleure option ?,What do you think about Weezevent?,What are the main strengths and weaknesses of Weezevent?,What do customers and reviews say about Weezevent and its products or services?,20,20,21,18,79,80%,80%,84%,72%,79%,83
Worldia,https://corp.worldia.com/,France,France tailor-made travel,🇫🇷 FR,logiciel création voyage sur mesure,Quelle est le meilleur logiciel création de voyage sur mesure en France en 2025 ?,Choisir son logiciel de création de voyage sur mesure en France en 2025 : qui recommandez-vous ?,"En 2025, quel logiciel de création de voyage sur mesure choisir en France ?",Qui domine le marché du logiciel de création de voyage sur mesure en France en 2025 ?,Je cherche une solution logicielle de création de voyage sur mesure en France en 2025 ; quelle est la meilleure option ?,What do you think about Worldia?,What are the main strengths and weaknesses of Worldia?,What do customers and reviews say about Worldia and its products or services?,2,0,0,0,2,8%,0%,0%,0%,2%,58
Zeplug,https://www.zeplug.com/,France,France condo EV-charging,🇫🇷 FR,borne recharge immeuble,Quel est le meilleur pour installer borne recharge immeuble en France en 2025 ?,Borne recharge immeuble en France en 2025 : quel fournisseur recommandez-vous ?,"En 2025, qui installe borne recharge immeuble en France ?",Meilleur choix pour borne recharge immeuble en France en 2025 ?,Je cherche à installer des bornes recharge immeuble en France en 2025 ; quelle est la meilleure option ?,What do you think about Zeplug?,What are the main strengths and weaknesses of Zeplug?,What do customers and reviews say about Zeplug and its products or services?,10,4,0,6,20,40%,16%,0%,24%,20%,33
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,TOTAL,63%,51%,51%,46%,53%,57%
